id,categoria,texto
1,produto,"Comprei este fone de ouvido e a qualidade de som é excepcional! Vale muito a pena."
2,servico,"O atendimento do restaurante foi péssimo. Demorou 2 horas para chegar o pedido."
3,produto,"Notebook chegou rápido e bem embalado. Desempenho ótimo para trabalho."
4,servico,"Academia com ótima estrutura e professores qualificados. Recomendo!"
5,produto,"Mouse sem fio com problema. Parou de funcionar após 1 semana de uso."
6,servico,"Hotel com limpeza impecável e café da manhã delicioso. Voltarei com certeza."
7,produto,"Livro interessante mas achei o preço um pouco elevado para o conteúdo."
8,servico,"Suporte técnico muito atencioso. Resolveram meu problema rapidamente."
9,produto,"Tênis de corrida confortável mas a durabilidade deixou a desejar."
10,servico,"Aplicativo de delivery funciona bem mas as taxas são muito altas."
11,produto,"Cafeteira excelente! Faz café delicioso e é muito fácil de usar."
12,servico,"Curso online muito bem estruturado. Aprendi bastante sobre programação."
13,produto,"Relógio smartwatch com muitas funcionalidades. Bateria dura mais de 3 dias."
14,servico,"Streaming de vídeo com boa qualidade mas trava ocasionalmente."
15,produto,"Mochila resistente e espaçosa. Perfeita para viagens longas."
16,servico,"Plano de internet rápido e estável. Sem quedas há meses."
17,produto,"Jogo divertido mas com muitos bugs. Precisa de atualizações."
18,servico,"Consultoria jurídica eficiente. Resolveram minha questão em 1 semana."
19,produto,"Cadeira de escritório ergonômica. Aliviou minhas dores nas costas."
20,servico,"Aplicativo bancário seguro e intuitivo. Facilita muito a vida."
